truck_type,departure_date,from_city,to_city,capacity,distance_km,season,price,demand
Heavy Commercial Vehicles,2025-01-24,Jaipur,Amritsar,30,530.84,0,12643.54,1193.28
Heavy Commercial Vehicles,2023-07-19,Kanpur,Vadodara,30,858.11,2,17594.82,1462.41
Container trucks,2024-01-27,Bilaspur,Kozhikode,40,1375.74,0,21385.7,1211.61
Heavy Commercial Vehicles,2024-07-24,Meerut,Kolhapur,30,1405.31,2,21850.74,1416.91
Container trucks,2025-09-16,Pune,Ludhiana,40,1386.07,3,22834.8,1393.04
Container trucks,2024-04-01,Kolkata,Jaipur,40,1359.15,1,22921.78,1453.67
Medium Commercial Vehicles,2023-11-23,Bilaspur,Hubli,20,1048.44,3,14159.85,1121.2
Medium Commercial Vehicles,2024-09-07,Allahabad,Kolhapur,20,1247.75,3,15817.97,1025.36
Trailer trucks,2024-05-11,Jamshedpur,Meerut,50,1091.88,1,23736.87,1508.23
Heavy Commercial Vehicles,2025-07-20,Vadodara,Dehradun,30,1010.63,2,18672.13,1456.1
Light Commercial Vehicles,2023-07-08,Jamshedpur,Vadodara,10,1340.05,2,14928.41,1007.09
Light Commercial Vehicles,2024-06-24,Madurai,Kozhikode,10,295.46,2,5517.4,1247.91
Container trucks,2023-04-18,Vellore,Solapur,40,628.86,1,17487.7,1581.15
Light Commercial Vehicles,2023-11-07,Mangalore,Jhansi,10,1441.13,3,14834.04,910.22
Light Commercial Vehicles,2025-02-25,Allahabad,Patna,10,331.31,0,5052.58,906.32
Light Commercial Vehicles,2024-09-20,Hubli,Kolhapur,10,175.73,3,4125.61,1112.23
Container trucks,2023-07-20,Guwahati,Vijayawada,40,1567.5,2,26643.38,1460.98
Trailer trucks,2024-02-21,Warangal,Guwahati,50,1543.88,0,25868.41,1423.77
Container trucks,2025-07-25,Ranchi,Bangalore,40,1407.82,2,25801.91,1531.17
Heavy Commercial Vehicles,2024-12-06,Surat,Hubli,30,686.75,0,14011.89,1182.63
Container trucks,2023-01-27,Thiruvananthapuram,Kolkata,40,1977.31,0,26777.37,1104.15
Container trucks,2025-11-09,Chennai,Delhi,40,1748.63,3,25693.23,1333.31
Heavy Commercial Vehicles,2025-04-30,Meerut,Warangal,30,1234.05,1,19083.96,1252.06
Medium Commercial Vehicles,2024-03-29,Vadodara,Jaipur,20,574.28,1,10895.39,1146.77
Heavy Commercial Vehicles,2024-11-06,Thiruvananthapuram,Jaipur,30,2038.92,3,24814.78,1130.78
Heavy Commercial Vehicles,2025-11-20,Thiruvananthapuram,Coimbatore,30,275.72,3,11674.5,1442.52
Container trucks,2025-09-14,Bilaspur,Nashik,40,897.97,3,19368.44,1541.81
Light Commercial Vehicles,2025-06-21,Meerut,Ahmedabad,10,836.74,2,10186.61,1198.08
Container trucks,2025-02-26,Hubli,Kanpur,40,1341.1,0,21135.21,1292.75
Trailer trucks,2025-01-12,Ranchi,Guwahati,50,720.17,0,19613.91,1421.78
Heavy Commercial Vehicles,2025-01-27,Chennai,Lucknow,30,1525.41,0,19823.75,948.65
Light Commercial Vehicles,2023-09-26,Indore,Jodhpur,10,484.16,3,6858.73,1075.28
Light Commercial Vehicles,2025-11-04,Jabalpur,Madurai,10,1480.45,3,15002.91,852.47
Trailer trucks,2024-07-26,Dhanbad,Visakhapatnam,50,754.44,2,23522.38,1843.85
Medium Commercial Vehicles,2024-11-29,Jabalpur,Gwalior,20,382.69,3,8579.04,1206.13
Container trucks,2025-12-01,Udaipur,Gwalior,40,484.77,0,14720.92,1363.75
Light Commercial Vehicles,2024-09-18,Coimbatore,Jaipur,10,1763.86,3,17129.12,790.3
Light Commercial Vehicles,2025-05-28,Bangalore,Dhanbad,10,1517.77,1,14842.35,992.24
Light Commercial Vehicles,2024-04-21,Dhanbad,Thiruvananthapuram,10,1969.61,1,18366.6,883.61
Trailer trucks,2025-07-25,Madurai,Bhopal,50,1477.66,2,29853.64,1683.9
Container trucks,2025-10-12,Nashik,Gwalior,40,822.69,3,18297.72,1457.99
Medium Commercial Vehicles,2024-01-13,Hubli,Solapur,20,267.38,0,7396.1,1136.73
Heavy Commercial Vehicles,2023-11-25,Agra,Lucknow,30,293.87,3,11364.19,1486.82
Heavy Commercial Vehicles,2025-03-10,Ranchi,Solapur,30,1164.79,1,18450.73,1273.72
Trailer trucks,2023-06-28,Meerut,Jodhpur,50,553.24,2,21261.92,1922.58
Medium Commercial Vehicles,2024-09-21,Pune,Bangalore,20,733.02,3,12153.6,1121.35
Heavy Commercial Vehicles,2025-04-19,Chennai,Visakhapatnam,30,599.69,1,13752.22,1339.87
Container trucks,2024-08-25,Jodhpur,Hubli,40,1223.56,2,23775.82,1577.82
Trailer trucks,2025-11-15,Visakhapatnam,Raipur,50,428.4,3,18023.39,1669.18
Medium Commercial Vehicles,2024-02-27,Udaipur,Madurai,20,1688.42,0,18576.37,924.36
Light Commercial Vehicles,2023-12-13,Ranchi,Coimbatore,10,1627.0,0,15096.67,781.91
Heavy Commercial Vehicles,2025-08-02,Ranchi,Vellore,30,1325.84,2,21396.9,1391.06
Container trucks,2023-05-29,Tiruchirappalli,Udaipur,40,1615.53,1,24583.4,1290.55
Trailer trucks,2024-04-17,Thiruvananthapuram,Rajkot,50,1660.16,1,28543.19,1453.9
Trailer trucks,2023-08-12,Ludhiana,Delhi,50,285.14,2,19401.89,1925.34
Heavy Commercial Vehicles,2024-05-26,Nanded,Agra,30,893.0,1,16053.83,1285.42
Heavy Commercial Vehicles,2023-06-27,Pune,Kanpur,30,1101.79,2,19880.92,1425.92
Container trucks,2024-05-17,Rajkot,Kolhapur,40,717.27,1,18168.1,1497.71
Trailer trucks,2025-07-18,Lucknow,Ahmedabad,50,945.68,2,24828.74,1825.56
Heavy Commercial Vehicles,2025-08-03,Solapur,Dhanbad,30,1288.79,2,21513.35,1473.84
Light Commercial Vehicles,2024-03-13,Nashik,Vadodara,10,263.42,1,4726.13,1129.39
Medium Commercial Vehicles,2024-04-02,Vijayawada,Mangalore,20,739.51,1,11530.73,1141.7
Medium Commercial Vehicles,2023-04-03,Jabalpur,Agra,20,485.4,1,9414.22,1301.55
Heavy Commercial Vehicles,2023-04-30,Meerut,Nanded,30,1091.28,1,17237.22,1312.14
Medium Commercial Vehicles,2024-04-08,Dehradun,Guwahati,20,1421.11,1,16979.72,1049.1
Light Commercial Vehicles,2023-09-10,Kolhapur,Coimbatore,10,694.23,3,8431.35,1024.37
Medium Commercial Vehicles,2024-11-22,Hubli,Dhanbad,20,1508.09,3,17697.67,1041.42
Heavy Commercial Vehicles,2025-04-30,Jamshedpur,Pune,30,1370.46,1,20103.35,1273.91
Heavy Commercial Vehicles,2024-03-14,Pune,Hyderabad,30,506.29,1,12699.92,1462.43
Trailer trucks,2024-07-04,Ranchi,Nanded,50,950.73,2,24864.08,1672.19
Heavy Commercial Vehicles,2023-01-24,Kozhikode,Vijayawada,30,783.35,0,14525.0,1224.2
Light Commercial Vehicles,2023-12-11,Bhopal,Bhavnagar,10,565.98,0,6743.37,851.7
Container trucks,2023-04-05,Hubli,Indore,40,817.79,1,18871.44,1437.7
Container trucks,2024-05-10,Bhopal,Amritsar,40,961.22,1,19451.07,1412.44
Heavy Commercial Vehicles,2025-08-09,Jaipur,Vijayawada,30,1256.83,2,20592.88,1472.43
Container trucks,2024-05-07,Lucknow,Kozhikode,40,1808.5,1,26120.84,1324.67
Heavy Commercial Vehicles,2024-05-12,Allahabad,Thiruvananthapuram,30,1942.72,1,24916.08,1144.97
Light Commercial Vehicles,2023-09-21,Udaipur,Lucknow,10,767.8,3,8832.96,1024.84
Trailer trucks,2023-03-12,Madurai,Raipur,50,1308.42,1,25303.05,1553.22
Trailer trucks,2023-02-28,Surat,Kolkata,50,1612.14,0,26133.07,1294.06
Medium Commercial Vehicles,2025-01-10,Thiruvananthapuram,Bilaspur,20,1600.2,0,17438.18,861.98
Heavy Commercial Vehicles,2025-06-04,Bhopal,Gwalior,30,336.83,2,13013.26,1543.69
Trailer trucks,2023-03-10,Bangalore,Surat,50,1039.14,1,23202.83,1557.87
Heavy Commercial Vehicles,2025-03-08,Pune,Mumbai,30,120.14,1,10183.53,1416.55
Medium Commercial Vehicles,2024-07-27,Jabalpur,Mumbai,20,866.9,2,14103.68,1335.62
Container trucks,2025-08-07,Allahabad,Rajkot,40,1176.67,2,23360.73,1494.62
Container trucks,2025-03-08,Chennai,Tiruchirappalli,40,305.6,1,14272.35,1651.63
Container trucks,2023-09-05,Kozhikode,Hubli,40,459.78,3,15686.35,1536.19
Light Commercial Vehicles,2025-03-11,Indore,Raipur,10,617.79,1,8343.7,1071.29
Container trucks,2024-10-01,Vadodara,Vijayawada,40,1013.22,3,20141.14,1481.48
Trailer trucks,2023-02-23,Warangal,Rajkot,50,1036.11,0,21988.44,1485.66
Light Commercial Vehicles,2025-02-09,Agra,Delhi,10,177.64,0,4340.29,1021.0
Trailer trucks,2023-05-22,Ludhiana,Allahabad,50,843.85,1,21761.51,1588.88
Trailer trucks,2023-12-15,Dhanbad,Udaipur,50,1294.65,0,24111.24,1388.39
Container trucks,2025-11-23,Ludhiana,Kolkata,40,1547.05,3,23895.4,1403.29
Container trucks,2024-08-09,Vadodara,Tiruchirappalli,40,1403.75,2,25549.06,1458.29
Medium Commercial Vehicles,2023-10-27,Mangalore,Vadodara,20,1054.65,3,14150.63,1152.95
Container trucks,2023-03-27,Jamshedpur,Nanded,40,1008.58,1,19592.68,1512.35
Heavy Commercial Vehicles,2024-02-25,Kolhapur,Amritsar,30,1654.83,0,21073.11,1056.37
Trailer trucks,2023-04-13,Raipur,Ranchi,50,444.37,1,18489.98,1775.08
Heavy Commercial Vehicles,2025-10-29,Nanded,Surat,30,520.47,3,13640.27,1363.24
Heavy Commercial Vehicles,2024-10-26,Allahabad,Bangalore,30,1450.03,3,20305.55,1155.44
Light Commercial Vehicles,2025-02-15,Agra,Hyderabad,10,1085.41,0,11498.94,883.71
Light Commercial Vehicles,2023-09-09,Raipur,Vijayawada,10,535.33,3,6946.86,1126.59
Heavy Commercial Vehicles,2025-02-05,Jabalpur,Surat,30,770.71,0,14383.05,1130.64
Trailer trucks,2025-07-31,Mumbai,Lucknow,50,1193.08,2,26571.27,1680.95
Heavy Commercial Vehicles,2024-12-30,Kolkata,Thiruvananthapuram,30,1977.31,0,23083.31,975.85
Heavy Commercial Vehicles,2024-12-12,Raipur,Agra,30,752.24,0,13844.95,1219.57
Trailer trucks,2024-07-03,Surat,Vadodara,50,131.0,2,18147.9,1840.39
Medium Commercial Vehicles,2023-03-06,Ahmedabad,Kolkata,20,1621.48,1,18990.44,944.94
Heavy Commercial Vehicles,2025-04-19,Patna,Hyderabad,30,1140.15,1,18272.2,1244.52
Container trucks,2025-12-25,Indore,Raipur,40,617.79,0,15615.93,1369.85
Container trucks,2025-12-09,Amritsar,Hyderabad,40,1619.95,0,23888.73,1134.23
Trailer trucks,2024-05-23,Jaipur,Kolhapur,50,1141.44,1,23990.22,1485.11
Heavy Commercial Vehicles,2023-05-19,Nashik,Amritsar,30,1293.71,1,19011.64,1308.98
Trailer trucks,2023-06-09,Indore,Hyderabad,50,651.41,2,21758.91,1804.07
Light Commercial Vehicles,2024-08-04,Jabalpur,Dhanbad,10,661.7,2,8730.82,1204.62
Medium Commercial Vehicles,2024-05-23,Udaipur,Kolhapur,20,874.22,1,12595.44,1216.8
Light Commercial Vehicles,2023-07-01,Tiruchirappalli,Kolhapur,10,812.87,2,10672.72,1115.6
Container trucks,2025-06-06,Bangalore,Amritsar,40,2085.4,2,31926.3,1335.65
Light Commercial Vehicles,2023-05-21,Agra,Ahmedabad,10,715.71,1,9198.98,1023.48
Container trucks,2024-04-03,Guwahati,Surat,40,2003.54,1,28516.7,1194.04
Container trucks,2025-09-26,Raipur,Hubli,40,947.08,3,19701.68,1509.96
Container trucks,2024-01-25,Guwahati,Dhanbad,40,595.5,0,16124.76,1318.72
Light Commercial Vehicles,2025-12-30,Vijayawada,Delhi,10,1386.43,0,13737.29,764.28
Heavy Commercial Vehicles,2023-02-21,Ahmedabad,Vellore,30,1316.23,0,18918.26,1020.85
Medium Commercial Vehicles,2024-05-22,Amritsar,Ludhiana,20,124.19,1,7230.1,1263.56
Light Commercial Vehicles,2025-11-10,Kanpur,Thiruvananthapuram,10,2016.23,3,18820.97,778.56
Trailer trucks,2024-01-31,Nagpur,Rajkot,50,866.69,0,20936.56,1521.62
Heavy Commercial Vehicles,2025-05-30,Jhansi,Bangalore,30,1384.93,1,20198.8,1208.5
Medium Commercial Vehicles,2024-05-26,Tiruchirappalli,Bhavnagar,20,1401.24,1,16873.12,1044.58
Heavy Commercial Vehicles,2024-04-15,Jamshedpur,Nashik,30,1323.6,1,19390.2,1193.6
Trailer trucks,2023-02-08,Hyderabad,Mangalore,50,630.0,0,18695.56,1471.92
Light Commercial Vehicles,2025-05-03,Nagpur,Vijayawada,10,539.21,1,7225.6,1031.84
Trailer trucks,2023-04-05,Surat,Nanded,50,520.47,1,18906.11,1675.8
Trailer trucks,2025-09-12,Rajkot,Bhopal,50,686.94,3,20406.37,1619.24
Trailer trucks,2024-10-30,Bilaspur,Udaipur,50,905.32,3,22636.53,1667.75
Trailer trucks,2024-04-06,Nagpur,Delhi,50,848.72,1,22064.15,1669.2
Light Commercial Vehicles,2023-05-31,Bangalore,Thiruvananthapuram,10,497.19,1,6750.7,1153.98
Container trucks,2024-05-28,Jabalpur,Bhopal,40,263.58,1,13730.43,1631.29
Light Commercial Vehicles,2023-07-21,Pune,Nagpur,10,620.26,2,8632.03,1150.96
Light Commercial Vehicles,2023-11-07,Hubli,Vellore,10,510.53,3,7557.02,1070.15
Heavy Commercial Vehicles,2025-11-12,Chennai,Nashik,30,1031.2,3,17279.84,1276.07
Container trucks,2025-10-27,Gwalior,Delhi,40,282.38,3,14296.61,1658.27
Medium Commercial Vehicles,2024-03-28,Jamshedpur,Ahmedabad,20,1398.13,1,16919.69,998.09
Light Commercial Vehicles,2023-01-17,Solapur,Mangalore,10,537.11,0,7115.48,880.82
Container trucks,2024-06-14,Vellore,Raipur,40,959.88,2,21664.25,1646.29
Heavy Commercial Vehicles,2023-05-10,Nagpur,Ludhiana,30,1127.83,1,17982.02,1231.8
Trailer trucks,2024-11-07,Mumbai,Guwahati,50,2088.02,3,31674.74,1470.65
Container trucks,2024-01-08,Bhavnagar,Jabalpur,40,821.3,0,18056.46,1277.15
Light Commercial Vehicles,2023-03-19,Solapur,Visakhapatnam,10,775.76,1,9434.4,1085.85
Light Commercial Vehicles,2025-07-01,Nagpur,Allahabad,10,552.52,2,8492.31,1251.96
Light Commercial Vehicles,2024-08-24,Surat,Ahmedabad,10,206.85,2,5063.76,1360.35
Trailer trucks,2023-02-06,Tiruchirappalli,Kanpur,50,1741.8,0,27294.27,1369.87
Light Commercial Vehicles,2023-06-22,Meerut,Kanpur,10,381.98,2,6560.73,1272.87
Light Commercial Vehicles,2023-09-22,Vellore,Guwahati,10,1970.46,3,18851.9,871.51
Trailer trucks,2024-02-20,Kozhikode,Jhansi,50,1597.85,0,26165.29,1412.07
Container trucks,2023-05-19,Indore,Kozhikode,40,1268.42,1,22413.94,1362.21
Trailer trucks,2023-02-04,Rajkot,Warangal,50,1036.11,0,22573.2,1355.23
Light Commercial Vehicles,2025-09-15,Chennai,Delhi,10,1748.63,3,17009.67,917.87
Trailer trucks,2024-09-30,Surat,Jhansi,50,754.06,3,20875.95,1725.8
Heavy Commercial Vehicles,2023-10-13,Vadodara,Ahmedabad,30,101.01,3,9756.65,1484.78
Trailer trucks,2023-01-29,Raipur,Udaipur,50,891.9,0,21228.46,1423.1
Container trucks,2025-12-02,Warangal,Coimbatore,40,821.02,0,17182.34,1301.19
Light Commercial Vehicles,2024-11-03,Surat,Kanpur,10,961.96,3,10416.4,1062.48
Light Commercial Vehicles,2024-10-10,Ahmedabad,Kanpur,10,871.8,3,9817.25,1071.83
Medium Commercial Vehicles,2024-09-12,Kozhikode,Mangalore,20,208.94,3,8048.2,1324.33
Container trucks,2023-01-21,Jhansi,Jabalpur,40,289.4,0,14069.55,1410.59
Container trucks,2023-01-20,Madurai,Ranchi,40,1670.44,0,24139.85,1107.35
Medium Commercial Vehicles,2023-04-12,Hyderabad,Jabalpur,20,660.54,1,10958.72,1199.4
Heavy Commercial Vehicles,2024-06-18,Amritsar,Jabalpur,30,1064.05,2,19292.45,1365.44
Light Commercial Vehicles,2024-07-28,Ludhiana,Warangal,10,1480.27,2,16349.15,1020.59
Heavy Commercial Vehicles,2024-08-06,Bangalore,Jhansi,30,1384.93,2,21673.58,1287.75
Medium Commercial Vehicles,2025-03-03,Lucknow,Indore,20,688.17,1,11818.57,1177.92
Medium Commercial Vehicles,2024-09-08,Amritsar,Ahmedabad,20,980.94,3,13821.41,1074.91
Trailer trucks,2023-12-20,Warangal,Dhanbad,50,959.21,0,21781.27,1493.29
Medium Commercial Vehicles,2025-01-22,Solapur,Bhopal,20,639.57,0,10317.8,999.65
Light Commercial Vehicles,2023-10-15,Visakhapatnam,Rajkot,10,1395.55,3,14253.51,921.88
Heavy Commercial Vehicles,2025-10-11,Mumbai,Allahabad,30,1161.46,3,17936.31,1305.08
Container trucks,2023-01-15,Madurai,Raipur,40,1308.42,0,20979.53,1167.17
Container trucks,2025-05-13,Warangal,Hyderabad,40,134.6,1,12701.2,1575.81
Medium Commercial Vehicles,2023-11-18,Mumbai,Bangalore,20,843.11,3,12427.52,1215.03
Trailer trucks,2025-09-08,Warangal,Gwalior,50,923.95,3,21912.5,1628.62
Light Commercial Vehicles,2023-05-15,Vadodara,Bhopal,10,447.11,1,6270.04,1088.89
Trailer trucks,2024-05-10,Meerut,Solapur,50,1267.58,1,24944.03,1589.33
Trailer trucks,2024-03-17,Delhi,Tiruchirappalli,50,1979.34,1,31141.51,1354.5
Heavy Commercial Vehicles,2023-06-17,Tiruchirappalli,Jaipur,30,1810.69,2,25448.85,1222.16
Medium Commercial Vehicles,2023-06-26,Guwahati,Ranchi,20,720.17,2,12841.35,1292.04
Container trucks,2023-05-24,Kanpur,Indore,40,613.16,1,16728.93,1531.98
